scenario_key,row_key,query_viewer_key,query_project_key,target_key,relationship_project_key,assigned_viewer_key,stage,lifecycle_status,target_status,assignment_status,current_revision,updated_at_utc,snapshot_as_of_utc,expected_in_current_snapshot,expected_reason,expected_scenario_result
primary_current,stage-0,primary,default,target-0,default,primary,0,active,active,active,1,2020-01-10T09:00:00Z,2030-01-15T12:00:00Z,true,included,valid
primary_current,stage-1,primary,default,target-1,default,primary,1,active,active,active,1,2020-01-11T09:00:00Z,2030-01-15T12:00:00Z,true,included,valid
primary_current,stage-2,primary,default,target-2,default,primary,2,active,active,active,3,2020-01-12T09:00:00Z,2030-01-15T12:00:00Z,true,included,valid
primary_current,stage-3,primary,default,target-3,default,primary,3,active,active,active,2,2020-01-13T09:00:00Z,2030-01-15T12:00:00Z,true,included,valid
primary_current,stage-4,primary,default,target-4,default,primary,4,active,active,active,4,2020-01-15T12:00:00Z,2030-01-15T12:00:00Z,true,included,valid
primary_current,paused,primary,default,target-paused,default,primary,2,paused,active,active,2,2020-01-12T10:00:00Z,2030-01-15T12:00:00Z,false,paused_relationship,valid
primary_current,ended,primary,default,target-ended,default,primary,3,ended,active,active,2,2020-01-12T11:00:00Z,2030-01-15T12:00:00Z,false,ended_relationship,valid
primary_current,anonymized,primary,default,target-anonymized,default,primary,4,ended,anonymized,ended,5,2020-01-12T12:00:00Z,2030-01-15T12:00:00Z,false,anonymized_target,valid
primary_current,ended-assignment,primary,default,target-unassigned,default,primary,1,active,active,ended,2,2020-01-12T13:00:00Z,2030-01-15T12:00:00Z,false,ended_assignment,valid
primary_current,other-viewer,primary,default,target-other-viewer,default,secondary,2,active,active,active,1,2020-01-12T14:00:00Z,2030-01-15T12:00:00Z,false,other_viewer,valid
primary_current,other-project,primary,default,target-0,other,primary,4,active,active,active,1,2020-01-12T15:00:00Z,2030-01-15T12:00:00Z,false,other_project,valid
duplicate_projection,duplicate-a,primary,default,target-duplicate,default,primary,1,active,active,active,1,2020-01-12T16:00:00Z,2030-01-15T12:00:00Z,false,duplicate_target_project,duplicate_target_project
duplicate_projection,duplicate-b,primary,default,target-duplicate,default,primary,3,active,active,active,2,2020-01-12T17:00:00Z,2030-01-15T12:00:00Z,false,duplicate_target_project,duplicate_target_project
