scenario_key,row_key,analytics_enabled,query_project_key,row_project_key,source_kind,contact_key,target_key,revision_number,current_revision_number,lifecycle_status,occurred_at_utc,period_start_utc,period_end_utc,consent_state,expected_in_candidate,expected_reason,expected_status,expected_yes_count,expected_no_count,expected_unknown_count,expected_refused_count,expected_not_applicable_count,expected_unanswered_count,expected_excluded_count,expected_denominator,expected_basis_points
enabled_primary,multi_yes,true,default,default,contact_target_link,contact-multi,target-multi-yes,1,1,active,2026-08-02T10:00:00.000Z,2026-08-01T00:00:00.000Z,2026-08-08T00:00:00.000Z,yes,true,included,ready,2,1,0,1,1,2,0,3,6667
enabled_primary,multi_no,true,default,default,contact_target_link,contact-multi,target-multi-no,1,1,active,2026-08-02T10:00:00.000Z,2026-08-01T00:00:00.000Z,2026-08-08T00:00:00.000Z,no,true,included,ready,2,1,0,1,1,2,0,3,6667
enabled_primary,second_yes,true,default,default,contact_target_link,contact-yes,target-yes,1,1,active,2026-08-03T11:00:00.000Z,2026-08-01T00:00:00.000Z,2026-08-08T00:00:00.000Z,yes,true,included,ready,2,1,0,1,1,2,0,3,6667
enabled_primary,unknown_default,true,default,default,contact_target_link,contact-unknown-a,target-unknown-a,1,1,active,2026-08-03T12:00:00.000Z,2026-08-01T00:00:00.000Z,2026-08-08T00:00:00.000Z,unknown,true,included,ready,2,1,0,1,1,2,0,3,6667
enabled_primary,refused,true,default,default,contact_target_link,contact-refused,target-refused,1,1,active,2026-08-03T13:00:00.000Z,2026-08-01T00:00:00.000Z,2026-08-08T00:00:00.000Z,refused,true,included,ready,2,1,0,1,1,2,0,3,6667
enabled_primary,not_applicable,true,default,default,contact_target_link,contact-not-applicable,target-not-applicable,1,1,active,2026-08-03T14:00:00.000Z,2026-08-01T00:00:00.000Z,2026-08-08T00:00:00.000Z,not_applicable,true,included,ready,2,1,0,1,1,2,0,3,6667
enabled_primary,old_revision,true,default,default,contact_target_link,contact-revised,target-revised,1,2,active,2026-08-04T09:00:00.000Z,2026-08-01T00:00:00.000Z,2026-08-08T00:00:00.000Z,yes,false,old_revision,ready,2,1,0,1,1,2,0,3,6667
enabled_primary,current_revision_unknown,true,default,default,contact_target_link,contact-revised,target-revised,2,2,active,2026-08-04T09:00:00.000Z,2026-08-01T00:00:00.000Z,2026-08-08T00:00:00.000Z,unknown,true,included,ready,2,1,0,1,1,2,0,3,6667
enabled_primary,voided_contact,true,default,default,contact_target_link,contact-voided,target-voided,1,1,voided,2026-08-04T10:00:00.000Z,2026-08-01T00:00:00.000Z,2026-08-08T00:00:00.000Z,yes,false,voided_contact,ready,2,1,0,1,1,2,0,3,6667
enabled_primary,draft_link,true,default,default,draft_target_link,draft-contact,target-draft,1,1,active,2026-08-04T11:00:00.000Z,2026-08-01T00:00:00.000Z,2026-08-08T00:00:00.000Z,yes,false,draft,ready,2,1,0,1,1,2,0,3,6667
enabled_primary,attempt_link,true,default,default,contact_attempt_target_link,attempt-contact,target-attempt,1,1,active,2026-08-04T12:00:00.000Z,2026-08-01T00:00:00.000Z,2026-08-08T00:00:00.000Z,yes,false,contact_attempt,ready,2,1,0,1,1,2,0,3,6667
enabled_primary,other_project,true,default,other,contact_target_link,contact-other-project,target-other-project,1,1,active,2026-08-05T09:00:00.000Z,2026-08-01T00:00:00.000Z,2026-08-08T00:00:00.000Z,yes,false,other_project,ready,2,1,0,1,1,2,0,3,6667
enabled_primary,right_boundary,true,default,default,contact_target_link,contact-right-boundary,target-right-boundary,1,1,active,2026-08-08T00:00:00.000Z,2026-08-01T00:00:00.000Z,2026-08-08T00:00:00.000Z,yes,false,right_boundary,ready,2,1,0,1,1,2,0,3,6667
enabled_primary,before_period,true,default,default,contact_target_link,contact-before-period,target-before-period,1,1,active,2026-07-31T23:59:59.999Z,2026-08-01T00:00:00.000Z,2026-08-08T00:00:00.000Z,yes,false,before_period,ready,2,1,0,1,1,2,0,3,6667
enabled_primary,questionnaire_collision,true,default,default,questionnaire_answer,contact-questionnaire,target-questionnaire,1,1,active,2026-08-05T10:00:00.000Z,2026-08-01T00:00:00.000Z,2026-08-08T00:00:00.000Z,yes,false,wrong_statistical_unit,ready,2,1,0,1,1,2,0,3,6667
enabled_no_answers,unknown,true,default,default,contact_target_link,contact-no-answer-unknown,target-no-answer-unknown,1,1,active,2026-08-02T10:00:00.000Z,2026-08-01T00:00:00.000Z,2026-08-08T00:00:00.000Z,unknown,true,included,ready,0,0,0,1,1,1,0,0,NA
enabled_no_answers,refused,true,default,default,contact_target_link,contact-no-answer-refused,target-no-answer-refused,1,1,active,2026-08-02T11:00:00.000Z,2026-08-01T00:00:00.000Z,2026-08-08T00:00:00.000Z,refused,true,included,ready,0,0,0,1,1,1,0,0,NA
enabled_no_answers,not_applicable,true,default,default,contact_target_link,contact-no-answer-na,target-no-answer-na,1,1,active,2026-08-02T12:00:00.000Z,2026-08-01T00:00:00.000Z,2026-08-08T00:00:00.000Z,not_applicable,true,included,ready,0,0,0,1,1,1,0,0,NA
disabled_project,disabled_yes,false,default,default,contact_target_link,contact-disabled,target-disabled,1,1,active,2026-08-02T10:00:00.000Z,2026-08-01T00:00:00.000Z,2026-08-08T00:00:00.000Z,yes,false,metric_not_enabled,not_enabled,NA,NA,NA,NA,NA,NA,NA,NA,NA
