scenario,period_key,channel,contributor_key,unit_count
safe,previous,face_to_face,promoter-a,5
safe,previous,face_to_face,promoter-b,3
safe,previous,face_to_face,promoter-c,2
safe,previous,voice_call,promoter-a,5
safe,previous,voice_call,promoter-b,3
safe,previous,voice_call,promoter-c,2
safe,previous,video_call,promoter-a,5
safe,previous,video_call,promoter-b,3
safe,previous,video_call,promoter-c,2
safe,previous,instant_text,promoter-a,5
safe,previous,instant_text,promoter-b,3
safe,previous,instant_text,promoter-c,2
safe,previous,asynchronous_message,promoter-a,5
safe,previous,asynchronous_message,promoter-b,3
safe,previous,asynchronous_message,promoter-c,2
safe,previous,mixed,promoter-a,5
safe,previous,mixed,promoter-b,3
safe,previous,mixed,promoter-c,2
safe,previous,other_direct,promoter-a,5
safe,previous,other_direct,promoter-b,3
safe,previous,other_direct,promoter-c,2
safe,current,face_to_face,promoter-a,5
safe,current,face_to_face,promoter-b,3
safe,current,face_to_face,promoter-c,2
safe,current,voice_call,promoter-a,5
safe,current,voice_call,promoter-b,3
safe,current,voice_call,promoter-c,2
safe,current,video_call,promoter-a,5
safe,current,video_call,promoter-b,3
safe,current,video_call,promoter-c,2
safe,current,instant_text,promoter-a,5
safe,current,instant_text,promoter-b,3
safe,current,instant_text,promoter-c,2
safe,current,asynchronous_message,promoter-a,5
safe,current,asynchronous_message,promoter-b,3
safe,current,asynchronous_message,promoter-c,2
safe,current,mixed,promoter-a,5
safe,current,mixed,promoter-b,3
safe,current,mixed,promoter-c,2
safe,current,other_direct,promoter-a,5
safe,current,other_direct,promoter-b,3
safe,current,other_direct,promoter-c,2
small_sample,current,face_to_face,promoter-a,3
small_sample,current,face_to_face,promoter-b,3
small_sample,current,face_to_face,promoter-c,3
two_contributors,current,video_call,promoter-a,5
two_contributors,current,video_call,promoter-b,5
dominant,current,voice_call,promoter-a,6
dominant,current,voice_call,promoter-b,2
dominant,current,voice_call,promoter-c,2
complementary,current,face_to_face,promoter-a,3
complementary,current,face_to_face,promoter-b,3
complementary,current,face_to_face,promoter-c,3
complementary,current,voice_call,promoter-a,5
complementary,current,voice_call,promoter-b,3
complementary,current,voice_call,promoter-c,2
complementary,current,video_call,promoter-a,5
complementary,current,video_call,promoter-b,3
complementary,current,video_call,promoter-c,2
complementary,current,instant_text,promoter-a,5
complementary,current,instant_text,promoter-b,3
complementary,current,instant_text,promoter-c,2
complementary,current,asynchronous_message,promoter-a,5
complementary,current,asynchronous_message,promoter-b,3
complementary,current,asynchronous_message,promoter-c,2
complementary,current,mixed,promoter-a,5
complementary,current,mixed,promoter-b,3
complementary,current,mixed,promoter-c,2
complementary,current,other_direct,promoter-a,5
complementary,current,other_direct,promoter-b,3
complementary,current,other_direct,promoter-c,2
