scenario,period_key,interest_level,contributor_key,unit_count
safe,previous,0,promoter-a,5
safe,previous,0,promoter-b,3
safe,previous,0,promoter-c,2
safe,previous,1,promoter-a,5
safe,previous,1,promoter-b,3
safe,previous,1,promoter-c,2
safe,previous,2,promoter-a,5
safe,previous,2,promoter-b,3
safe,previous,2,promoter-c,2
safe,previous,3,promoter-a,5
safe,previous,3,promoter-b,3
safe,previous,3,promoter-c,2
safe,previous,4,promoter-a,5
safe,previous,4,promoter-b,3
safe,previous,4,promoter-c,2
safe,current,0,promoter-a,5
safe,current,0,promoter-b,3
safe,current,0,promoter-c,2
safe,current,1,promoter-a,5
safe,current,1,promoter-b,3
safe,current,1,promoter-c,2
safe,current,2,promoter-a,5
safe,current,2,promoter-b,3
safe,current,2,promoter-c,2
safe,current,3,promoter-a,5
safe,current,3,promoter-b,3
safe,current,3,promoter-c,2
safe,current,4,promoter-a,5
safe,current,4,promoter-b,3
safe,current,4,promoter-c,2
small_sample,previous,0,promoter-a,5
small_sample,previous,0,promoter-b,3
small_sample,previous,0,promoter-c,2
small_sample,previous,1,promoter-a,5
small_sample,previous,1,promoter-b,3
small_sample,previous,1,promoter-c,2
small_sample,previous,2,promoter-a,5
small_sample,previous,2,promoter-b,3
small_sample,previous,2,promoter-c,2
small_sample,previous,3,promoter-a,5
small_sample,previous,3,promoter-b,3
small_sample,previous,3,promoter-c,2
small_sample,previous,4,promoter-a,5
small_sample,previous,4,promoter-b,3
small_sample,previous,4,promoter-c,2
small_sample,current,0,promoter-a,3
small_sample,current,0,promoter-b,3
small_sample,current,0,promoter-c,3
small_sample,current,1,promoter-a,5
small_sample,current,1,promoter-b,3
small_sample,current,1,promoter-c,2
small_sample,current,2,promoter-a,5
small_sample,current,2,promoter-b,3
small_sample,current,2,promoter-c,2
small_sample,current,3,promoter-a,5
small_sample,current,3,promoter-b,3
small_sample,current,3,promoter-c,2
small_sample,current,4,promoter-a,5
small_sample,current,4,promoter-b,3
small_sample,current,4,promoter-c,2
two_contributors,previous,0,promoter-a,5
two_contributors,previous,0,promoter-b,3
two_contributors,previous,0,promoter-c,2
two_contributors,previous,1,promoter-a,5
two_contributors,previous,1,promoter-b,3
two_contributors,previous,1,promoter-c,2
two_contributors,previous,2,promoter-a,5
two_contributors,previous,2,promoter-b,3
two_contributors,previous,2,promoter-c,2
two_contributors,previous,3,promoter-a,5
two_contributors,previous,3,promoter-b,3
two_contributors,previous,3,promoter-c,2
two_contributors,previous,4,promoter-a,5
two_contributors,previous,4,promoter-b,3
two_contributors,previous,4,promoter-c,2
two_contributors,current,0,promoter-a,5
two_contributors,current,0,promoter-b,3
two_contributors,current,0,promoter-c,2
two_contributors,current,1,promoter-a,5
two_contributors,current,1,promoter-b,5
two_contributors,current,2,promoter-a,5
two_contributors,current,2,promoter-b,3
two_contributors,current,2,promoter-c,2
two_contributors,current,3,promoter-a,5
two_contributors,current,3,promoter-b,3
two_contributors,current,3,promoter-c,2
two_contributors,current,4,promoter-a,5
two_contributors,current,4,promoter-b,3
two_contributors,current,4,promoter-c,2
dominant,previous,0,promoter-a,5
dominant,previous,0,promoter-b,3
dominant,previous,0,promoter-c,2
dominant,previous,1,promoter-a,5
dominant,previous,1,promoter-b,3
dominant,previous,1,promoter-c,2
dominant,previous,2,promoter-a,5
dominant,previous,2,promoter-b,3
dominant,previous,2,promoter-c,2
dominant,previous,3,promoter-a,5
dominant,previous,3,promoter-b,3
dominant,previous,3,promoter-c,2
dominant,previous,4,promoter-a,5
dominant,previous,4,promoter-b,3
dominant,previous,4,promoter-c,2
dominant,current,0,promoter-a,5
dominant,current,0,promoter-b,3
dominant,current,0,promoter-c,2
dominant,current,1,promoter-a,5
dominant,current,1,promoter-b,3
dominant,current,1,promoter-c,2
dominant,current,2,promoter-a,6
dominant,current,2,promoter-b,2
dominant,current,2,promoter-c,2
dominant,current,3,promoter-a,5
dominant,current,3,promoter-b,3
dominant,current,3,promoter-c,2
dominant,current,4,promoter-a,5
dominant,current,4,promoter-b,3
dominant,current,4,promoter-c,2
cross_report_total,previous,0,promoter-a,5
cross_report_total,previous,0,promoter-b,3
cross_report_total,previous,0,promoter-c,2
cross_report_total,previous,1,promoter-a,5
cross_report_total,previous,1,promoter-b,3
cross_report_total,previous,1,promoter-c,2
cross_report_total,previous,2,promoter-a,5
cross_report_total,previous,2,promoter-b,3
cross_report_total,previous,2,promoter-c,2
cross_report_total,previous,3,promoter-a,5
cross_report_total,previous,3,promoter-b,3
cross_report_total,previous,3,promoter-c,2
cross_report_total,previous,4,promoter-a,5
cross_report_total,previous,4,promoter-b,3
cross_report_total,previous,4,promoter-c,2
cross_report_total,current,0,promoter-a,3
cross_report_total,current,0,promoter-b,3
cross_report_total,current,0,promoter-c,3
cross_report_total,current,1,promoter-a,8
cross_report_total,current,1,promoter-b,5
cross_report_total,current,1,promoter-c,3
cross_report_total,current,2,promoter-a,7
cross_report_total,current,2,promoter-b,5
cross_report_total,current,2,promoter-c,3
cross_report_total,current,3,promoter-a,7
cross_report_total,current,3,promoter-b,5
cross_report_total,current,3,promoter-c,3
cross_report_total,current,4,promoter-a,7
cross_report_total,current,4,promoter-b,5
cross_report_total,current,4,promoter-c,3
