scenario,probe_patch,expected_status,expected_reason_codes
base,"{""probe_id"":""management_region_privacy_probe_v1"",""query_fingerprint"":""management-region-privacy-probe:v1"",""view_mode"":""original"",""tree_version"":""regions-v1"",""region_granularity"":""smallest_region"",""reports"":[{""report_key"":""report-a"",""period_key"":""week-a"",""view_mode"":""original"",""tree_version"":""regions-v1"",""region_granularity"":""smallest_region"",""scope_kind"":""fixed_nodes"",""cells"":[{""region_id"":""city-a"",""tree_version"":""regions-v1"",""privacy_status"":""displayed"",""value_count"":10,""contributor_count"":3,""max_contribution"":5,""category_key"":""all""}]}],""region_relationships"":[],""query_overlaps"":[],""version_mappings"":[],""location_states"":[{""state"":""resolved"",""region_id"":""city-a"",""tree_version"":""regions-v1"",""included_in_region_cell"":true},{""state"":""resolved"",""region_id"":""campus-a"",""tree_version"":""regions-v1"",""included_in_region_cell"":true},{""state"":""resolved"",""region_id"":""district-a"",""tree_version"":""regions-v1"",""included_in_region_cell"":true},{""state"":""resolved"",""region_id"":""service-zone-a"",""tree_version"":""regions-v1"",""included_in_region_cell"":true},{""state"":""resolved"",""region_id"":""city-old"",""tree_version"":""regions-v1"",""included_in_region_cell"":true},{""state"":""resolved"",""region_id"":""city-new"",""tree_version"":""regions-v2"",""included_in_region_cell"":true},{""state"":""resolved"",""region_id"":""city-a"",""tree_version"":""regions-v2"",""included_in_region_cell"":true},{""state"":""pending_resolution"",""region_id"":null,""tree_version"":null,""included_in_region_cell"":false},{""state"":""not_applicable"",""region_id"":null,""tree_version"":null,""included_in_region_cell"":false}],""external_facts"":[]}",approved,"[]"
parent_child,"{""reports"":[{""report_key"":""report-a"",""period_key"":""week-a"",""view_mode"":""original"",""tree_version"":""regions-v1"",""region_granularity"":""smallest_region"",""scope_kind"":""fixed_nodes"",""cells"":[{""region_id"":""city-a"",""tree_version"":""regions-v1"",""privacy_status"":""displayed"",""value_count"":20,""contributor_count"":4,""max_contribution"":8,""category_key"":""all""},{""region_id"":""campus-a"",""tree_version"":""regions-v1"",""privacy_status"":""displayed"",""value_count"":10,""contributor_count"":3,""max_contribution"":5,""category_key"":""all""}]}],""region_relationships"":[{""parent_region_id"":""city-a"",""child_region_id"":""campus-a"",""tree_version"":""regions-v1""}]}",blocked,"[""parent_child_overlap""]"
other_overlap,"{""reports"":[{""report_key"":""report-a"",""period_key"":""week-a"",""view_mode"":""original"",""tree_version"":""regions-v1"",""region_granularity"":""smallest_region"",""scope_kind"":""fixed_nodes"",""cells"":[{""region_id"":""district-a"",""tree_version"":""regions-v1"",""privacy_status"":""displayed"",""value_count"":20,""contributor_count"":4,""max_contribution"":8,""category_key"":""all""},{""region_id"":""service-zone-a"",""tree_version"":""regions-v1"",""privacy_status"":""displayed"",""value_count"":10,""contributor_count"":3,""max_contribution"":5,""category_key"":""all""}]}],""query_overlaps"":[{""left_region_id"":""district-a"",""left_tree_version"":""regions-v1"",""right_region_id"":""service-zone-a"",""right_tree_version"":""regions-v1""}]}",blocked,"[""overlapping_query_sets""]"
cross_version,"{""reports"":[{""report_key"":""report-a"",""period_key"":""week-a"",""view_mode"":""original"",""tree_version"":""regions-v1"",""region_granularity"":""smallest_region"",""scope_kind"":""fixed_nodes"",""cells"":[{""region_id"":""city-old"",""tree_version"":""regions-v1"",""privacy_status"":""displayed"",""value_count"":10,""contributor_count"":3,""max_contribution"":5,""category_key"":""all""}]},{""report_key"":""report-b"",""period_key"":""week-a"",""view_mode"":""original"",""tree_version"":""regions-v2"",""region_granularity"":""smallest_region"",""scope_kind"":""fixed_nodes"",""cells"":[{""region_id"":""city-new"",""tree_version"":""regions-v2"",""privacy_status"":""displayed"",""value_count"":10,""contributor_count"":3,""max_contribution"":5,""category_key"":""all""}]}],""version_mappings"":[{""from_region_id"":""city-old"",""from_tree_version"":""regions-v1"",""to_region_id"":""city-new"",""to_tree_version"":""regions-v2""}]}",blocked,"[""cross_version_overlap"",""mixed_tree_version""]"
shared_value_changed,"{""reports"":[{""report_key"":""report-a"",""period_key"":""week-a"",""view_mode"":""original"",""tree_version"":""regions-v1"",""region_granularity"":""smallest_region"",""scope_kind"":""fixed_nodes"",""cells"":[{""region_id"":""city-a"",""tree_version"":""regions-v1"",""privacy_status"":""displayed"",""value_count"":10,""contributor_count"":3,""max_contribution"":5,""category_key"":""all""}]},{""report_key"":""report-b"",""period_key"":""week-a"",""view_mode"":""original"",""tree_version"":""regions-v1"",""region_granularity"":""smallest_region"",""scope_kind"":""fixed_nodes"",""cells"":[{""region_id"":""city-a"",""tree_version"":""regions-v1"",""privacy_status"":""displayed"",""value_count"":11,""contributor_count"":3,""max_contribution"":5,""category_key"":""all""}]}]}",blocked,"[""shared_period_value_changed""]"
shared_status_changed,"{""reports"":[{""report_key"":""report-a"",""period_key"":""week-a"",""view_mode"":""original"",""tree_version"":""regions-v1"",""region_granularity"":""smallest_region"",""scope_kind"":""fixed_nodes"",""cells"":[{""region_id"":""city-a"",""tree_version"":""regions-v1"",""privacy_status"":""displayed"",""value_count"":10,""contributor_count"":3,""max_contribution"":5,""category_key"":""all""}]},{""report_key"":""report-b"",""period_key"":""week-a"",""view_mode"":""original"",""tree_version"":""regions-v1"",""region_granularity"":""smallest_region"",""scope_kind"":""fixed_nodes"",""cells"":[{""region_id"":""city-a"",""tree_version"":""regions-v1"",""privacy_status"":""suppressed"",""value_count"":null,""contributor_count"":2,""max_contribution"":5,""category_key"":""all""}]}]}",blocked,"[""shared_period_privacy_status_changed"",""sparse_cell""]"
complementary,"{""reports"":[{""report_key"":""report-a"",""period_key"":""week-a"",""view_mode"":""original"",""tree_version"":""regions-v1"",""region_granularity"":""smallest_region"",""scope_kind"":""fixed_nodes"",""cells"":[{""region_id"":""city-a"",""tree_version"":""regions-v1"",""privacy_status"":""displayed"",""value_count"":20,""contributor_count"":4,""max_contribution"":8,""category_key"":""all""},{""region_id"":""campus-a"",""tree_version"":""regions-v1"",""privacy_status"":""suppressed"",""value_count"":null,""contributor_count"":2,""max_contribution"":5,""category_key"":""all""}]}],""region_relationships"":[{""parent_region_id"":""city-a"",""child_region_id"":""campus-a"",""tree_version"":""regions-v1""}]}",blocked,"[""complementary_cell_exposure"",""sparse_cell""]"
complementary_category,"{""reports"":[{""report_key"":""report-a"",""period_key"":""week-a"",""view_mode"":""original"",""tree_version"":""regions-v1"",""region_granularity"":""smallest_region"",""scope_kind"":""fixed_nodes"",""cells"":[{""region_id"":""city-a"",""tree_version"":""regions-v1"",""privacy_status"":""displayed"",""value_count"":20,""contributor_count"":4,""max_contribution"":8,""category_key"":""all""},{""region_id"":""city-a"",""tree_version"":""regions-v1"",""privacy_status"":""suppressed"",""value_count"":null,""contributor_count"":2,""max_contribution"":5,""category_key"":""direct""}]}]}",blocked,"[""complementary_cell_exposure"",""sparse_cell""]"
sparse,"{""reports"":[{""report_key"":""report-a"",""period_key"":""week-a"",""view_mode"":""original"",""tree_version"":""regions-v1"",""region_granularity"":""smallest_region"",""scope_kind"":""fixed_nodes"",""cells"":[{""region_id"":""city-a"",""tree_version"":""regions-v1"",""privacy_status"":""suppressed"",""value_count"":null,""contributor_count"":2,""max_contribution"":5,""category_key"":""all""}]}]}",blocked,"[""sparse_cell""]"
external_fact,"{""external_facts"":[{""fact_kind"":""known_venue_attendance"",""known_unit_count"":1,""target_region_id"":""city-a"",""target_tree_version"":""regions-v1"",""period_key"":""week-a"",""category_key"":""all""}]}",blocked,"[""external_fact_exposure""]"
