case_name,report_id,report_version,extra_key,extra_value,expected_status,expected_fingerprint
valid,contact_sessions_by_channel_two_periods,1,,,accepted,management-report:contact_sessions_by_channel_two_periods:v1
unknown_report,unknown,1,,,rejected,
unknown_version,contact_sessions_by_channel_two_periods,2,,,rejected,
client_project,contact_sessions_by_channel_two_periods,1,project_id,33333333-3333-4333-8333-333333333333,rejected,
client_time_zone,contact_sessions_by_channel_two_periods,1,time_zone,UTC,rejected,
client_reporting_time_zone,contact_sessions_by_channel_two_periods,1,reporting_time_zone,UTC,rejected,
client_period,contact_sessions_by_channel_two_periods,1,from_utc,2030-01-01T00:00:00Z,rejected,
client_data_cutoff,contact_sessions_by_channel_two_periods,1,data_cutoff_utc,2030-01-01T00:00:00Z,rejected,
client_dimension,contact_sessions_by_channel_two_periods,1,dimensions,region,rejected,
client_filter,contact_sessions_by_channel_two_periods,1,filters,all,rejected,
client_export,contact_sessions_by_channel_two_periods,1,export_fields,value_count,rejected,
