scenario_key,row_key,query_actor_key,query_workspace_key,query_project_key,target_key,relationship_workspace_key,relationship_project_key,revision_number,old_stage,new_stage,changed_fields,reason_code,changed_by_actor_key,changed_at_utc,current_assignment_status,period_from_utc,period_until_utc,expected_in_personal_metric,expected_reason,expected_scenario_result,expected_event_count,expected_distinct_relationship_count,expected_upward_count,expected_downward_count
primary_events,event-a-from,primary,default,default,target-a,default,default,2,0,1,stage,progress_update,primary,2030-01-01T00:00:00Z,active,2030-01-01T00:00:00Z,2030-01-08T00:00:00Z,true,included,valid,5,4,3,2
primary_events,event-a-repeat,primary,default,default,target-a,default,default,3,1,2,stage|follow_up_note,progress_update,primary,2030-01-02T10:00:00Z,active,2030-01-01T00:00:00Z,2030-01-08T00:00:00Z,true,included,valid,5,4,3,2
primary_events,event-b-down,primary,default,default,target-b,default,default,2,3,1,stage|follow_up_note,contact_lost,primary,2030-01-03T10:00:00Z,active,2030-01-01T00:00:00Z,2030-01-08T00:00:00Z,true,included,valid,5,4,3,2
primary_events,event-c-up,primary,default,default,target-c,default,default,3,1,4,stage,requirements_changed,primary,2030-01-04T10:00:00Z,active,2030-01-01T00:00:00Z,2030-01-08T00:00:00Z,true,included,valid,5,4,3,2
primary_events,event-d-ended,primary,default,default,target-d,default,default,2,4,2,stage|follow_up_note,target_request,primary,2030-01-05T10:00:00Z,ended,2030-01-01T00:00:00Z,2030-01-08T00:00:00Z,true,included,valid,5,4,3,2
primary_events,exclude-project-entry,primary,default,default,target-entry,default,default,1,,0,stage|lifecycle_status,project_entry,primary,2030-01-02T11:00:00Z,active,2030-01-01T00:00:00Z,2030-01-08T00:00:00Z,false,project_entry,valid,5,4,3,2
primary_events,exclude-lifecycle-only,primary,default,default,target-lifecycle,default,default,2,2,2,lifecycle_status,timing_changed,primary,2030-01-02T12:00:00Z,active,2030-01-01T00:00:00Z,2030-01-08T00:00:00Z,false,lifecycle_only,valid,5,4,3,2
primary_events,exclude-note-only,primary,default,default,target-note,default,default,2,1,1,follow_up_note,other,primary,2030-01-02T13:00:00Z,active,2030-01-01T00:00:00Z,2030-01-08T00:00:00Z,false,lifecycle_only,valid,5,4,3,2
primary_events,exclude-same-stage,primary,default,default,target-same,default,default,2,2,2,stage|follow_up_note,correction,primary,2030-01-02T14:00:00Z,active,2030-01-01T00:00:00Z,2030-01-08T00:00:00Z,false,same_stage,valid,5,4,3,2
primary_events,exclude-before-period,primary,default,default,target-before,default,default,2,2,3,stage,progress_update,primary,2029-12-31T23:59:59Z,active,2030-01-01T00:00:00Z,2030-01-08T00:00:00Z,false,before_period,valid,5,4,3,2
primary_events,exclude-until-boundary,primary,default,default,target-until,default,default,2,2,4,stage,progress_update,primary,2030-01-08T00:00:00Z,active,2030-01-01T00:00:00Z,2030-01-08T00:00:00Z,false,period_until,valid,5,4,3,2
primary_events,exclude-other-actor,primary,default,default,target-actor,default,default,2,1,3,stage,progress_update,secondary,2030-01-02T15:00:00Z,active,2030-01-01T00:00:00Z,2030-01-08T00:00:00Z,false,other_actor,valid,5,4,3,2
primary_events,exclude-other-workspace,primary,default,default,target-workspace,other_workspace,default,2,1,3,stage,progress_update,primary,2030-01-02T16:00:00Z,active,2030-01-01T00:00:00Z,2030-01-08T00:00:00Z,false,other_workspace,valid,5,4,3,2
primary_events,exclude-other-project,primary,default,default,target-project,default,other_project,2,1,3,stage,progress_update,primary,2030-01-02T17:00:00Z,active,2030-01-01T00:00:00Z,2030-01-08T00:00:00Z,false,other_project,valid,5,4,3,2
duplicate_revision,duplicate-a,primary,default,default,target-duplicate,default,default,2,1,2,stage,progress_update,primary,2030-01-02T10:00:00Z,active,2030-01-01T00:00:00Z,2030-01-08T00:00:00Z,false,duplicate_revision,duplicate_revision_fail_closed,0,0,0,0
duplicate_revision,duplicate-b,primary,default,default,target-duplicate,default,default,2,1,2,stage,progress_update,primary,2030-01-02T10:00:00Z,active,2030-01-01T00:00:00Z,2030-01-08T00:00:00Z,false,duplicate_revision,duplicate_revision_fail_closed,0,0,0,0
duplicate_revision,otherwise-valid-row,primary,default,default,target-otherwise-valid,default,default,2,2,3,stage,progress_update,primary,2030-01-03T10:00:00Z,active,2030-01-01T00:00:00Z,2030-01-08T00:00:00Z,false,duplicate_revision,duplicate_revision_fail_closed,0,0,0,0
